28,28,28,28,0,0,0,0,28,Dark,neutral,Grey,Black,1C1C1C,grey11,
31,31,31,31,0,0,0,0,31,Dark,neutral,Grey,Dark Grey,1F1F1F,grey12,
33,33,33,33,0,0,0,0,33,Dark,neutral,Grey,Dark Grey,212121,grey13,
34,34,34,34,0,0,0,0,34,Dark,neutral,Grey,Dark Grey,222222,grey13.5,
36,36,36,36,0,0,0,0,36,Dark,neutral,Grey,Dark Grey,242424,grey14,
38,38,38,38,0,0,0,0,38,Dark,neutral,Grey,Dark Grey,262626,grey15,
41,41,41,41,0,0,0,0,41,Dark,neutral,Grey,Dark Grey,292929,grey16,
43,43,43,43,0,0,0,0,43,Dark,neutral,Grey,Dark Grey,2B2B2B,grey17,
46,46,46,46,0,0,0,0,46,Dark,neutral,Grey,Dark Grey,2E2E2E,grey18,
48,48,48,48,0,0,0,0,48,Dark,neutral,Grey,Dark Grey,303030,grey19,
51,51,51,51,0,0,0,0,51,Dark,neutral,Grey,Dark Grey,333333,grey20,
54,54,54,54,0,0,0,0,54,Dark,neutral,Grey,Dark Grey,363636,grey21,
56,56,56,56,0,0,0,0,56,Dark,neutral,Grey,Dark Grey,383838,grey22,
59,59,59,59,0,0,0,0,59,Dark,neutral,Grey,Dark Grey,3B3B3B,grey23,
61,61,61,61,0,0,0,0,61,Dark,neutral,Grey,Grey,3D3D3D,grey24,
64,64,64,64,0,0,0,0,64,Dark,neutral,Grey,Grey,404040,grey25,
66,66,66,66,0,0,0,0,66,Dark,neutral,Grey,Grey,424242,grey26,
69,69,69,69,0,0,0,0,69,Dark,neutral,Grey,Grey,454545,grey27,
71,71,71,71,0,0,0,0,71,Dark,neutral,Grey,Grey,474747,grey28,
8,8,8,8,0,0,0,0,8,Dark,neutral,Grey,Black,80808,grey3,
77,77,77,77,0,0,0,0,77,Dark,neutral,Grey,Grey,4D4D4D,grey30,
79,79,79,79,0,0,0,0,79,Dark,neutral,Grey,Grey,4F4F4F,grey31,
82,82,82,82,0,0,0,0,82,Dark,neutral,Grey,Grey,525252,grey32,
84,84,84,84,0,0,0,0,84,Dark,neutral,Grey,Grey,545454,grey33,
85,85,85,85,0,0,0,0,85,Dark,neutral,Grey,Grey,555555,grey33.5,
87,87,87,87,0,0,0,0,87,Dark,neutral,Grey,Grey,575757,grey34,
89,89,89,89,0,0,0,0,89,Dark,neutral,Grey,Grey,595959,grey35,
92,92,92,92,0,0,0,0,92,Dark,neutral,Grey,Grey,5C5C5C,grey36,
94,94,94,94,0,0,0,0,94,Dark,neutral,Grey,Grey,5E5E5E,grey37,
97,97,97,97,0,0,0,0,97,Dark,neutral,Grey,Grey,616161,grey38,
99,99,99,99,0,0,0,0,99,Medium,neutral,Grey,Grey,636363,grey39,
102,102,102,102,0,0,0,0,102,Medium,neutral,Grey,Grey,666666,grey40,
105,105,105,105,0,0,0,0,105,Medium,neutral,Grey,Grey,696969,grey41,
107,107,107,107,0,0,0,0,107,Medium,neutral,Grey,Grey,6B6B6B,grey42,
110,110,110,110,0,0,0,0,110,Medium,neutral,Grey,Grey,6E6E6E,grey43,
112,112,112,112,0,0,0,0,112,Medium,neutral,Grey,Grey,707070,grey44,
115,115,115,115,0,0,0,0,115,Medium,neutral,Grey,Grey,737373,grey45,
117,117,117,117,0,0,0,0,117,Medium,neutral,Grey,Grey,757575,grey46,
119,119,119,119,0,0,0,0,119,Medium,neutral,Grey,Grey,777777,grey46.5,
120,120,120,120,0,0,0,0,120,Medium,neutral,Grey,Grey,787878,grey47,
122,122,122,122,0,0,0,0,122,Medium,neutral,Grey,Grey,7A7A7A,grey48,
125,125,125,125,0,0,0,0,125,Medium,neutral,Grey,Grey,7D7D7D,grey49,
127,127,127,127,0,0,0,0,127,Medium,neutral,Grey,Light Grey,7F7F7F,grey50,
130,130,130,130,0,0,0,0,130,Medium,neutral,Grey,Light Grey,828282,grey51,
133,133,133,133,0,0,0,0,133,Medium,neutral,Grey,Light Grey,858585,grey52,
135,135,135,135,0,0,0,0,135,Medium,neutral,Grey,Light Grey,878787,grey53,
136,136,136,136,0,0,0,0,136,Medium,neutral,Grey,Light Grey,888888,grey53.5,
138,138,138,138,0,0,0,0,138,Medium,neutral,Grey,Light Grey,8A8A8A,grey54,
140,140,140,140,0,0,0,0,140,Medium,neutral,Grey,Light Grey,8C8C8C,grey55,
143,143,143,143,0,0,0,0,143,Medium,neutral,Grey,Light Grey,8F8F8F,grey56,
145,145,145,145,0,0,0,0,145,Medium,neutral,Grey,Light Grey,919191,grey57,
148,148,148,148,0,0,0,0,148,Medium,neutral,Grey,Light Grey,949494,grey58,
150,150,150,150,0,0,0,0,150,Medium,neutral,Grey,Light Grey,969696,grey59,
153,153,153,153,0,0,0,0,153,Light,neutral,Grey,Light Grey,999999,grey60,
156,156,156,156,0,0,0,0,156,Light,neutral,Grey,Light Grey,9C9C9C,grey61,
158,158,158,158,0,0,0,0,158,Light,neutral,Grey,Light Grey,9E9E9E,grey62,
161,161,161,161,0,0,0,0,161,Light,neutral,Grey,Light Grey,A1A1A1,grey63,
163,163,163,163,0,0,0,0,163,Light,neutral,Grey,Light Grey,A3A3A3,grey64,
166,166,166,166,0,0,0,0,166,Light,neutral,Grey,Light Grey,A6A6A6,grey65,
168,168,168,168,0,0,0,0,168,Light,neutral,Grey,Light Grey,A8A8A8,grey66,
171,171,171,171,0,0,0,0,171,Light,neutral,Grey,Light Grey,ABABAB,grey67,
173,173,173,173,0,0,0,0,173,Light,neutral,Grey,Light Grey,ADADAD,grey68,
176,176,176,176,0,0,0,0,176,Light,neutral,Grey,Light Grey,B0B0B0,grey69,
179,179,179,179,0,0,0,0,179,Light,neutral,Grey,Light Grey,B3B3B3,grey70,
181,181,181,181,0,0,0,0,181,Light,neutral,Grey,Light Grey,B5B5B5,grey71,
184,184,184,184,0,0,0,0,184,Light,neutral,Grey,Light Grey,B8B8B8,grey72,
186,186,186,186,0,0,0,0,186,Light,neutral,Grey,Light Grey,BABABA,grey73,
187,187,187,187,0,0,0,0,187,Light,neutral,Grey,Light Grey,BBBBBB,grey73.5,
